観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,8日の最大値(mm),8日の最大値の品質情報,8日の最大値起時（時）(まで),8日の最大値起時（分）(まで),8日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,7日までの観測史上1位の値(mm),7日までの観測史上1位の値の品質情報,7日までの観測史上1位の値の年,7日までの観測史上1位の値の月,7日までの観測史上1位の値の日,7日までの1月の1位の値(mm),7日までの1月の1位の値の品質情報,7日までの1月の1位の値の年,7日までの1月の1位の値の月,7日までの1月の1位の値の日,統計開始年
20276,北海道 十勝地方,足寄（アショロ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,64.5,8,2013,8,8,11.0,8,2003,1,4,1976
20331,北海道 十勝地方,押帯（オショップ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,38.0,8,2003,8,10,11.0,8,2003,1,4,1983
20341,北海道 十勝地方,本別（ホンベツ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,42.5,8,2015,8,11,11.0,8,2003,1,4,1976
20356,北海道 十勝地方,新得（シントク）,,2026,1,8,16,0,0.0,8,1.0,4,2.0,7.0,4.0,,,35.5,8,2022,8,16,9.0,8,2007,1,7,1976
20361,北海道 十勝地方,鹿追（シカオイ）,,2026,1,8,16,0,0.0,8,0.5,4,2.0,27.0,4.0,,,36.0,8,1982,7,21,9.0,8,2002,1,21,1976
20371,北海道 十勝地方,駒場（コマバ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,53.0,8,2012,8,6,8.0,8,2002,1,22,1977
20421,北海道 十勝地方,芽室（メムロ）,,2026,1,8,16,0,0.0,8,0.5,4,5.0,8.0,4.0,,,34.0,8,2006,8,4,11.0,8,2007,1,7,1976
20432,北海道 十勝地方,帯広（オビヒロ）,47417.0,2026,1,8,16,0,0.0,8,0.0,4,,,,,,56.5,8,1975,7,17,11.5,8,2007,1,7,1919
20441,北海道 十勝地方,池田（イケダ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,32.0,8,2025,6,27,10.0,8,2007,1,7,1976
20451,北海道 十勝地方,留真（ルシン）,,2026,1,8,16,0,0.0,8,1.5,4,10.0,52.0,4.0,,,50.0,8,2025,9,21,11.0,8,2007,1,7,1984
20506,北海道 十勝地方,浦幌（ウラホロ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,49.0,8,2025,9,21,13.0,8,2002,1,22,1976
20551,北海道 十勝地方,帯広泉（オビヒロイズミ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,38.5,8,2017,9,18,5.0,8,2022,1,12,2003
20556,北海道 十勝地方,糠内（ヌカナイ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,47.0,8,1980,6,24,18.0,8,2007,1,7,1978
20601,北海道 十勝地方,上札内（カミサツナイ）,,2026,1,8,16,0,0.0,8,1.0,4,0.0,54.0,4.0,,,53.0,8,1994,8,19,12.0,8,2007,1,7,1977
20606,北海道 十勝地方,更別（サラベツ）,,2026,1,8,16,0,0.0,8,0.5,4,1.0,4.0,4.0,,,38.0,8,1989,8,28,12.0,8,2007,1,7,1977
20631,北海道 十勝地方,大津（オオツ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,50.0,8,1985,9,1,10.0,8,2002,1,22,1977
20696,北海道 十勝地方,大樹（タイキ）,,2026,1,8,16,0,0.0,8,0.5,4,1.0,23.0,4.0,,,85.0,8,2017,9,18,15.0,8,2002,1,22,1976
20751,北海道 十勝地方,広尾（ヒロオ）,47440.0,2026,1,8,16,0,0.0,8,1.5,4,0.0,7.0,4.0,,,70.3,8,1959,10,13,42.0,8,2002,1,22,1958
21031,北海道 胆振地方,安平（アビラ）,,2026,1,8,16,0,0.5,8,0.5,4,16.0,0.0,4.0,,,57.5,8,2014,9,11,10.0,8,1999,1,28,1976
21111,北海道 胆振地方,厚真（アツマ）,,2026,1,8,16,0,0.0,8,1.0,4,9.0,6.0,4.0,,,88.5,8,2025,9,21,7.0,8,2004,1,14,1976
21126,北海道 胆振地方,穂別（ホベツ）,,2026,1,8,16,0,0.0,8,1.0,4,0.0,24.0,4.0,,,47.0,8,2000,8,15,7.0,8,2017,1,22,1976
21161,北海道 胆振地方,大滝（オオタキ）,,2026,1,8,16,0,0.0,8,1.0,4,6.0,57.0,4.0,,,70.0,8,2016,8,30,13.0,8,2002,1,22,1976
21171,北海道 胆振地方,森野（モリノ）,,2026,1,8,16,0,0.0,8,0.5,4,9.0,30.0,4.0,,,123.5,8,2025,10,1,20.0,8,2003,1,28,1976
21187,北海道 胆振地方,苫小牧（トマコマイ）,47424.0,2026,1,8,16,0,0.0,8,0.5,4,9.0,5.0,4.0,,,126.0,8,1950,8,1,8.5,8,1990,1,6,1943
21226,北海道 胆振地方,大岸（オオキシ）,,2026,1,8,16,0,0.0,8,1.0,4,6.0,7.0,4.0,,,56.0,8,1983,8,11,9.5,8,2009,1,10,1977
21237,北海道 胆振地方,洞爺湖温泉（トウヤコオンセン）,,2026,1,8,16,0,0.0,8,0.5,4,3.0,37.0,4.0,,,45.0,8,2023,9,12,9.0,8,2024,1,8,1978
21251,北海道 胆振地方,カルルス（カルルス）,,2026,1,8,16,0,0.0,8,0.5,4,8.0,37.0,4.0,,,81.5,8,2025,10,1,21.0,8,2003,1,28,1985
21261,北海道 胆振地方,白老（シラオイ）,,2026,1,8,16,0,0.0,8,0.5,4,8.0,4.0,4.0,,,84.0,8,1987,8,26,10.0,8,1999,1,27,1976
21276,北海道 胆振地方,鵡川（ムカワ）,,2026,1,8,16,0,0.0,8,1.0,4,8.0,35.0,4.0,,,69.0,8,2014,9,12,9.0,8,1997,1,2,1976
21297,北海道 胆振地方,伊達（ダテ）,,2026,1,8,16,0,0.0,8,0.5,4,4.0,39.0,4.0,,,33.0,8,2016,9,6,5.5,8,2017,1,27,2007
21312,北海道 胆振地方,登別（ノボリベツ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,126.0,8,1983,9,25,16.0,8,2000,1,7,1976
21323,北海道 胆振地方,室蘭（ムロラン）,47423.0,2026,1,8,16,0,0.0,8,2.0,4,8.0,14.0,4.0,,,51.3,8,1949,9,23,11.5,8,1970,1,31,1940
22036,北海道 日高地方,日高（ヒダカ）,,2026,1,8,16,0,0.0,8,1.5,4,0.0,3.0,4.0,,,62.5,8,2015,8,6,6.0,8,1995,1,9,1977
22072,北海道 日高地方,仁世宇（ニセウ）,,2026,1,8,16,0,0.0,8,1.5,4,1.0,23.0,4.0,,,65.0,8,2024,8,31,10.0,8,2007,1,7,1985
22106,北海道 日高地方,旭（アサヒ）,,2026,1,8,16,0,0.0,8,1.5,4,1.0,17.0,4.0,,,75.0,8,2003,8,9,8.0,8,2007,1,7,1985
22141,北海道 日高地方,日高門別（ヒダカモンベツ）,,2026,1,8,16,0,0.0,8,0.5,4,9.0,20.0,4.0,,,63.0,8,1992,8,9,9.0,8,1997,1,2,1976
22156,北海道 日高地方,新和（シンワ）,,2026,1,8,16,0,0.0,8,1.0,4,1.0,37.0,4.0,,,68.5,8,2022,8,11,12.0,8,1991,1,2,1976
22206,北海道 日高地方,笹山（ササヤマ）,,2026,1,8,16,0,0.0,8,1.5,4,0.0,9.0,4.0,,,54.0,8,1996,9,21,9.0,8,2007,1,7,1987
22241,北海道 日高地方,静内（シズナイ）,,2026,1,8,16,0,0.0,8,1.0,4,0.0,2.0,4.0,,,65.0,8,2016,8,23,9.5,8,2018,1,2,1976
22291,北海道 日高地方,三石（ミツイシ）,,2026,1,8,16,0,0.0,8,1.0,4,0.0,45.0,4.0,,,41.0,8,2021,8,23,10.0,8,2007,1,7,1977
22306,北海道 日高地方,中杵臼（ナカキネウス）,,2026,1,8,16,0,0.0,8,4.0,4,0.0,31.0,4.0,,,75.0,8,2023,10,5,15.0,8,2007,1,7,1978
22327,北海道 日高地方,浦河（ウラカワ）,47426.0,2026,1,8,16,0,0.0,8,1.0,4,0.0,28.0,4.0,,,60.0,8,2012,9,9,14.0,8,2002,1,8,1939
22356,北海道 日高地方,目黒（メグロ）,,2026,1,8,16,0,0.0,8,5.0,4,0.0,13.0,4.0,,,61.0,8,1985,9,7,14.0,8,2002,1,8,1978
22366,北海道 日高地方,幌満（ホロマン）,,2026,1,8,16,0,0.0,8,1.0,4,1.0,34.0,4.0,,,50.5,8,2022,7,4,12.0,8,2004,1,8,1978
22391,北海道 日高地方,えりも岬（エリモミサキ）,,2026,1,8,16,0,0.0,8,0.5,4,2.0,48.0,4.0,,,44.0,8,2020,8,17,11.0,8,2004,1,21,1978
23031,北海道 渡島地方,長万部（オシャマンベ）,,2026,1,8,16,0,0.0,8,1.0,4,7.0,20.0,4.0,,,90.0,8,1985,9,1,7.5,8,2017,1,27,1976
23086,北海道 渡島地方,八雲（ヤクモ）,,2026,1,8,16,0,0.0,8,0.5,4,6.0,39.0,4.0,,,53.0,8,2013,8,8,8.5,8,2017,1,27,1976
23166,北海道 渡島地方,森（モリ）,,2026,1,8,16,0,0.0,8,1.0,4,8.0,18.0,4.0,,,63.0,8,2017,7,22,10.0,8,2016,1,24,2002
23191,北海道 渡島地方,大沼（オオヌマ）,,2026,1,8,16,0,0.0,8,2.0,4,9.0,31.0,4.0,,,61.0,8,2007,7,28,10.0,8,2017,1,27,1976
23206,北海道 渡島地方,川汲（カックミ）,,2026,1,8,16,0,0.0,8,0.5,4,12.0,31.0,4.0,,,73.0,8,1998,9,16,12.5,8,2017,1,27,1976
23226,北海道 渡島地方,北斗（ホクト）,,2026,1,8,16,0,0.0,8,0.5,4,7.0,47.0,4.0,,,85.0,8,1991,10,15,10.0,8,2017,1,27,1976
23232,北海道 渡島地方,函館（ハコダテ）,47430.0,2026,1,8,16,0,0.0,8,0.5,4,9.0,53.0,4.0,,,64.0,8,2022,8,8,43.0,8,1891,1,14,1889
23281,北海道 渡島地方,高松（タカマツ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,81.5,8,2022,8,8,12.0,8,2007,1,7,2003
23291,北海道 渡島地方,戸井泊（トイトマリ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,102.0,8,2025,9,1,11.0,8,2007,1,7,2003
23321,北海道 渡島地方,知内（シリウチ）,,2026,1,8,16,0,0.0,8,1.5,4,9.0,27.0,4.0,,,66.5,8,2023,9,5,14.0,8,2024,1,22,2004
23326,北海道 渡島地方,木古内（キコナイ）,,2026,1,8,16,0,0.5,8,0.5,4,16.0,0.0,4.0,,,136.5,8,2021,11,2,11.0,8,2003,1,27,1976
23356,北海道 渡島地方,千軒（センゲン）,,2026,1,8,16,0,0.0,8,3.0,4,9.0,23.0,4.0,,,83.0,8,1994,9,21,11.5,8,2018,1,28,1978
23376,北海道 渡島地方,松前（マツマエ）,,2026,1,8,16,0,0.0,8,1.0,4,8.0,46.0,4.0,,,71.5,8,2013,8,9,9.5,8,2017,1,27,1977
24141,北海道 渡島地方,熊石（クマイシ）,,2026,1,8,16,0,0.0,8,0.5,4,15.0,52.0,4.0,,,71.5,8,2013,8,9,12.5,8,2017,1,27,1976
24041,北海道 檜山地方,せたな（セタナ）,,2026,1,8,16,0,0.0,8,1.5,4,4.0,11.0,4.0,,,69.0,8,2002,8,5,7.5,8,2024,1,12,1976
24051,北海道 檜山地方,今金（イマカネ）,,2026,1,8,16,0,0.0,8,2.0,4,2.0,28.0,4.0,,,57.5,8,2017,7,22,10.0,8,2024,1,12,1976
24101,北海道 檜山地方,奥尻（オクシリ）,,2026,1,8,16,0,0.0,8,1.0,4,4.0,44.0,4.0,,,50.0,8,2012,8,6,11.0,8,2021,1,16,2000
24156,北海道 檜山地方,米岡（ヨネオカ）,,2026,1,8,16,0,0.0,8,1.0,4,5.0,45.0,4.0,,,54.0,8,2018,9,24,6.5,8,2022,1,11,2003
24166,北海道 檜山地方,潮見（シオミ）,,2026,1,8,16,0,0.0,8,0.5,4,6.0,53.0,4.0,,,66.5,8,2010,8,11,9.0,8,2018,1,11,1976
24201,北海道 檜山地方,鶉（ウズラ）,,2026,1,8,16,0,0.5,8,0.5,4,16.0,0.0,4.0,,,89.0,8,2013,8,18,10.5,8,2017,1,27,1977
24217,北海道 檜山地方,江差（エサシ）,47428.0,2026,1,8,16,0,0.0,8,1.0,4,7.0,34.0,4.0,,,68.5,8,1975,9,8,10.5,8,2017,1,27,1941
24236,北海道 檜山地方,石崎（イシザキ）,,2026,1,8,16,0,0.0,8,1.0,4,8.0,59.0,4.0,,,82.0,8,1996,8,23,9.5,8,2017,1,27,1977
31001,青森県,大間（オオマ）,,2026,1,8,16,0,0.0,8,0.5,4,7.0,24.0,4.0,,,52.0,8,1998,8,3,12.0,8,2007,1,7,1976
31036,青森県,湯野川（ユノカワ）,,2026,1,8,16,0,0.0,8,1.5,4,6.0,20.0,4.0,,,58.5,8,2016,7,31,15.0,8,2007,1,7,2005
31111,青森県,むつ（ムツ）,47576.0,2026,1,8,16,0,0.0,8,0.5,4,10.0,16.0,4.0,,,55.5,8,2021,11,2,12.0,8,1970,1,31,1937
31121,青森県,小田野沢（オダノサワ）,,2026,1,8,16,0,0.0,8,1.0,4,11.0,53.0,4.0,,,48.0,8,1982,9,13,10.0,8,2007,1,7,1976
31136,青森県,今別（イマベツ）,,2026,1,8,16,0,0.0,8,1.0,4,8.0,36.0,4.0,,,58.0,8,2006,8,18,13.5,8,2017,1,27,1976
31156,青森県,脇野沢（ワキノサワ）,,2026,1,8,16,0,0.0,8,1.0,4,3.0,42.0,4.0,,,60.0,8,2005,9,18,13.0,8,2007,1,7,1976
31186,青森県,市浦（シウラ）,,2026,1,8,16,0,0.0,8,1.0,4,12.0,4.0,4.0,,,77.0,8,1994,8,30,10.0,8,2014,1,30,1976
31201,青森県,蟹田（カニタ）,,2026,1,8,16,0,0.0,8,1.5,4,11.0,45.0,4.0,,,61.0,8,2006,8,18,11.0,8,2007,1,7,1976
31296,青森県,五所川原（ゴショガワラ）,,2026,1,8,16,0,0.0,8,3.5,4,11.0,53.0,4.0,,,59.0,8,2014,9,10,9.0,8,2011,1,24,1976
31312,青森県,青森（アオモリ）,47575.0,2026,1,8,16,0,0.0,8,3.5,4,11.0,44.0,4.0,,,67.5,8,2000,7,25,12.8,8,1966,1,4,1937
31321,青森県,大和山（ヤマトヤマ）,,2026,1,8,16,0,0.0,8,3.0,4,13.0,5.0,4.0,,,50.0,8,2007,11,12,10.0,8,2007,1,7,1976
31332,青森県,野辺地（ノヘジ）,,2026,1,8,16,0,0.0,8,3.0,4,12.0,22.0,4.0,,,55.5,8,2023,7,11,7.5,8,2009,1,10,2008
31336,青森県,六ケ所（ロッカショ）,,2026,1,8,16,0,0.0,8,3.5,4,14.0,49.0,4.0,,,47.5,8,2021,11,2,11.0,8,2008,1,24,1982
31366,青森県,鰺ケ沢（アジガサワ）,,2026,1,8,16,0,0.0,8,3.5,4,11.0,32.0,4.0,,,52.0,8,2020,9,4,11.0,8,1999,1,28,1976
31386,青森県,青森大谷（アオモリオオタニ）,,2026,1,8,16,0,0.5,8,3.0,4,12.0,7.0,4.0,,,41.0,8,2012,7,16,11.0,8,2014,1,30,2003
31411,青森県,七戸（シチノヘ）,,2026,1,8,16,0,0.5,8,1.0,4,14.0,3.0,4.0,,,41.0,8,2017,7,22,9.0,8,2007,1,7,1977
31436,青森県,深浦（フカウラ）,47574.0,2026,1,8,16,0,0.0,8,3.0,4,11.0,28.0,4.0,,,91.5,8,2022,8,3,16.0,8,2014,1,28,1940
31451,青森県,岳（ダケ）,,2026,1,8,16,0,0.5,8,4.5,4,12.0,23.0,4.0,,,66.5,8,2012,9,5,10.0,4,2001,1,17,1976
31461,青森県,弘前（ヒロサキ）,,2026,1,8,16,0,2.0,8,6.0,4,12.0,37.0,4.0,,,88.0,8,2020,9,4,8.0,8,2005,1,29,1976
31466,青森県,黒石（クロイシ）,,2026,1,8,16,0,0.0,8,2.5,4,12.0,9.0,4.0,,,58.0,8,1977,8,5,9.0,8,2014,1,30,1976
31482,青森県,酸ケ湯（スカユ）,,2026,1,8,16,0,0.5,8,3.5,4,12.0,42.0,4.0,,,52.0,8,2006,8,18,15.0,8,1981,1,7,1976
31506,青森県,三沢（ミサワ）,,2026,1,8,16,0,0.0,8,0.5,4,15.0,55.0,4.0,,,61.0,8,1990,11,4,10.0,8,1981,1,2,1976
31551,青森県,大鰐（オオワニ）,,2026,1,8,16,0,0.5,8,1.5,4,14.0,13.0,4.0,,,51.5,8,2022,7,5,6.5,8,2026,1,7,2010
31562,青森県,温川（ヌルカワ）,,2026,1,8,16,0,0.5,8,3.5,4,13.0,17.0,4.0,,,51.0,8,2021,7,12,12.0,8,1999,1,14,1983
31586,青森県,十和田（トワダ）,,2026,1,8,16,0,0.0,8,0.5,4,13.0,45.0,4.0,,,62.0,8,1990,10,26,9.0,8,2007,1,7,1976
31602,青森県,八戸（ハチノヘ）,47581.0,2026,1,8,16,0,0.0,8,2.5,4,14.0,9.0,4.0,,,67.0,8,1969,8,5,13.5,8,2007,1,6,1936
31646,青森県,碇ケ関（イカリガセキ）,,2026,1,8,16,0,0.0,8,1.5,4,2.0,51.0,4.0,,,86.5,8,2012,8,6,10.0,8,2005,1,3,1976
31662,青森県,休屋（ヤスミヤ）,,2026,1,8,16,0,0.5,8,4.5,4,14.0,4.0,4.0,,,61.0,8,2025,8,19,8.0,8,2021,1,16,1982
31671,青森県,戸来（ヘライ）,,2026,1,8,16,0,0.0,8,0.5,4,14.0,12.0,4.0,,,51.0,8,1999,10,28,9.0,8,2007,1,7,1978
31721,青森県,三戸（サンノヘ）,,2026,1,8,16,0,0.0,8,1.0,4,14.0,38.0,4.0,,,49.0,8,1999,10,28,12.0,8,2007,1,7,1976
32056,秋田県,八森（ハチモリ）,,2026,1,8,16,0,0.0,8,1.0,4,14.0,56.0,4.0,,,72.5,8,2022,8,3,14.0,8,2024,1,5,1976
32071,秋田県,藤里（フジサト）,,2026,1,8,16,0,0.0,8,3.0,4,13.0,1.0,4.0,,,68.0,8,2022,8,3,14.5,8,2020,1,29,1978
32091,秋田県,陣場（ジンバ）,,2026,1,8,16,0,0.5,8,3.0,4,13.0,15.0,4.0,,,78.0,8,2017,7,22,16.0,8,2006,1,14,1976
32096,秋田県,藤原（フジワラ）,,2026,1,8,16,0,0.5,8,2.5,4,4.0,45.0,4.0,,,56.0,8,2005,9,19,7.0,8,2007,1,6,1983
32111,秋田県,能代（ノシロ）,,2026,1,8,16,0,0.0,8,1.5,4,14.0,8.0,4.0,,,90.5,8,2025,9,17,10.0,8,2005,1,29,1976
32126,秋田県,鷹巣（タカノス）,,2026,1,8,16,0,0.0,8,1.5,4,5.0,17.0,4.0,,,70.5,8,2022,8,3,9.0,8,2024,1,14,1976
32136,秋田県,大館（オオダテ）,,2026,1,8,16,0,0.0,8,2.0,4,14.0,5.0,4.0,,,68.0,8,2013,8,9,9.0,8,2024,1,14,1976
32146,秋田県,鹿角（カヅノ）,,2026,1,8,16,0,0.0,8,2.5,4,14.0,55.0,4.0,,,108.5,8,2013,8,9,7.5,8,2024,1,14,1976
32181,秋田県,脇神（ワキガミ）,,2026,1,8,16,0,0.0,8,1.5,4,5.0,20.0,4.0,,,66.0,8,2006,8,18,9.5,8,2024,1,14,2003
32206,秋田県,湯瀬（ユゼ）,,2026,1,8,16,0,1.0,8,2.5,4,0.0,45.0,4.0,,,54.5,8,2022,7,23,8.0,8,1985,1,31,1976
32266,秋田県,八幡平（ハチマンタイ）,,2026,1,8,16,0,1.0,8,4.0,4,15.0,24.0,4.0,,,58.0,8,2014,8,1,10.0,8,1998,1,18,1978
32276,秋田県,男鹿真山（オガシンザン）,,2026,1,8,16,0,0.0,8,1.0,4,15.0,2.0,4.0,,,64.5,8,2022,8,10,20.5,8,2022,1,9,1985
32286,秋田県,男鹿（オガ）,,2026,1,8,16,0,0.0,8,1.5,4,15.0,10.0,4.0,,,64.5,8,2011,7,28,11.5,8,2026,1,7,1976
32287,秋田県,大潟（オオガタ）,,2026,1,8,16,0,0.5,8,2.0,4,15.0,12.0,4.0,,,61.0,8,2005,9,1,12.5,8,2010,1,28,1977
32296,秋田県,五城目（ゴジョウメ）,,2026,1,8,16,0,2.0,8,4.5,4,15.0,44.0,4.0,,,78.5,8,2025,8,15,13.0,4,1976,1,17,1976
32311,秋田県,阿仁合（アニアイ）,,2026,1,8,16,0,4.0,8,5.0,4,15.0,2.0,4.0,,,94.5,8,2024,7,25,9.5,8,2024,1,14,1976
32312,秋田県,比立内（ヒタチナイ）,,2026,1,8,16,0,5.5,8,6.0,4,15.0,59.0,4.0,,,66.0,8,1979,7,8,10.5,8,2022,1,2,1976
32376,秋田県,桧木内（ヒノキナイ）,,2026,1,8,16,0,2.5,8,3.5,4,0.0,3.0,4.0,,,81.0,8,2013,8,9,11.0,8,2013,1,25,1978
32402,秋田県,秋田（アキタ）,47582.0,2026,1,8,16,0,0.0,8,3.0,4,3.0,9.0,4.0,,,72.4,8,1964,8,13,23.0,8,2022,1,9,1938
32407,秋田県,岩見三内（イワミサンナイ）,,2026,1,8,16,0,1.0,8,2.5,4,0.0,6.0,4.0,,,58.0,8,1987,8,17,12.0,8,2002,1,1,1976
32408,秋田県,仁別（ニベツ）,,2026,1,8,16,0,1.0,8,2.5,4,0.0,4.0,4.0,,,81.0,8,2018,8,5,14.0,8,2022,1,2,1985
32426,秋田県,鎧畑（ヨロイバタ）,,2026,1,8,16,0,1.0,8,5.5,4,0.0,6.0,4.0,,,88.0,8,2013,8,9,14.0,8,2007,1,6,1977
32431,秋田県,田沢湖高原（タザワココウゲン）,,2026,1,8,16,0,0.5,8,6.0,4,0.0,8.0,4.0,,,48.5,8,2017,8,22,8.0,8,2024,1,14,2014
32451,秋田県,雄和（ユウワ）,,2026,1,8,16,0,0.5,8,2.5,4,3.0,28.0,4.0,,,73.5,8,2017,7,22,10.0,8,2024,1,14,2003
32466,秋田県,角館（カクノダテ）,,2026,1,8,16,0,1.5,8,3.5,4,0.0,2.0,4.0,,,66.0,8,1990,7,26,10.0,8,1985,1,16,1976
32476,秋田県,田沢湖（タザワコ）,,2026,1,8,16,0,1.5,8,5.0,4,0.0,6.0,4.0,,,52.0,8,2002,8,6,14.0,4,1981,1,4,1976
32496,秋田県,大正寺（ダイショウジ）,,2026,1,8,16,0,0.0,8,2.5,4,5.0,8.0,4.0,,,62.5,8,2019,8,10,11.0,8,2021,1,14,1976
32551,秋田県,大曲（オオマガリ）,,2026,1,8,16,0,0.0,8,3.0,4,0.0,4.0,4.0,,,68.5,8,2020,8,30,8.5,8,2014,1,1,1976
32571,秋田県,本荘（ホンジョウ）,,2026,1,8,16,0,0.0,8,1.5,4,0.0,12.0,4.0,,,117.5,8,2025,8,8,13.5,8,2010,1,20,1976
32581,秋田県,東由利（ヒガシユリ）,,2026,1,8,16,0,0.0,8,3.5,4,5.0,11.0,4.0,,,69.5,8,2020,9,4,11.0,8,1985,1,16,1976
32596,秋田県,横手（ヨコテ）,,2026,1,8,16,0,0.0,8,3.0,4,8.0,39.0,4.0,,,68.5,8,2017,7,22,10.0,8,2007,1,6,1976
32616,秋田県,にかほ（ニカホ）,,2026,1,8,16,0,0.0,8,1.0,4,4.0,50.0,4.0,,,64.5,8,2010,8,25,13.0,8,2010,1,20,1976
32626,秋田県,矢島（ヤシマ）,,2026,1,8,16,0,0.0,8,4.0,4,4.0,14.0,4.0,,,58.0,8,1998,8,7,12.0,8,2024,1,14,1976
32681,秋田県,笹子（ジネゴ）,,2026,1,8,16,0,0.0,8,3.0,4,5.0,13.0,4.0,,,66.0,8,2019,8,10,8.0,8,2013,1,2,1983
32691,秋田県,湯沢（ユザワ）,,2026,1,8,16,0,0.5,8,2.0,4,7.0,2.0,4.0,,,52.0,8,2019,8,10,8.0,8,2007,1,6,1976
32701,秋田県,東成瀬（ヒガシナルセ）,,2026,1,8,16,0,0.5,8,2.5,4,5.0,54.0,4.0,,,49.0,8,2013,7,27,7.0,8,2007,1,6,1976
32771,秋田県,湯の岱（ユノタイ）,,2026,1,8,16,0,0.0,8,4.5,4,0.0,8.0,4.0,,,50.0,8,1989,7,24,12.0,8,1983,1,16,1976
33006,岩手県,種市（タネイチ）,,2026,1,8,16,0,0.0,8,3.0,4,14.0,56.0,4.0,,,86.0,8,2007,11,11,14.0,8,2007,1,7,1976
33026,岩手県,軽米（カルマイ）,,2026,1,8,16,0,0.0,8,0.5,4,15.0,12.0,4.0,,,65.0,8,2005,7,31,10.0,8,2007,1,6,1976
33071,岩手県,二戸（ニノヘ）,,2026,1,8,16,0,0.0,8,1.0,4,15.0,26.0,4.0,,,47.0,8,2014,8,15,13.0,8,2007,1,7,1976
33086,岩手県,大野（オオノ）,,2026,1,8,16,0,0.0,8,0.5,4,7.0,24.0,4.0,,,58.0,8,2016,8,30,14.0,8,2007,1,6,1976
33136,岩手県,山形（ヤマガタ）,,2026,1,8,16,0,0.0,8,0.5,4,9.0,9.0,4.0,,,62.5,8,2008,7,7,10.0,8,2007,1,6,1977
33146,岩手県,久慈（クジ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,71.0,8,2019,10,13,13.0,8,2009,1,10,1976
33166,岩手県,荒屋（アラヤ）,,2026,1,8,16,0,1.5,8,1.5,4,16.0,0.0,4.0,,,55.5,8,2016,8,26,7.0,8,2003,1,27,1976
33176,岩手県,奥中山（オクナカヤマ）,,2026,1,8,16,0,0.5,8,1.5,4,0.0,46.0,4.0,,,43.5,8,2025,9,2,7.0,8,2002,1,21,1977
33186,岩手県,葛巻（クズマキ）,,2026,1,8,16,0,0.0,8,0.5,4,2.0,4.0,4.0,,,49.0,8,2002,8,19,8.0,8,2025,1,26,1976
33201,岩手県,下戸鎖（シモトクサリ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,80.0,8,2016,8,30,18.0,8,2007,1,6,1978
33206,岩手県,普代（フダイ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,95.0,8,2019,10,13,18.0,8,2007,1,6,1976
33226,岩手県,岩手松尾（イワテマツオ）,,2026,1,8,16,0,0.5,8,0.5,4,16.0,0.0,4.0,,,75.5,8,2024,8,6,8.0,8,2002,1,21,1976
33231,岩手県,一方井（イッカタイ）,,2026,1,8,16,0,0.5,8,1.0,4,0.0,57.0,4.0,,,34.5,8,2022,9,20,6.0,8,2025,1,26,2014
33296,岩手県,好摩（コウマ）,,2026,1,8,16,0,0.0,8,3.0,4,0.0,40.0,4.0,,,61.5,8,2022,8,14,10.0,8,2002,1,21,1976
33326,岩手県,岩泉（イワイズミ）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,70.5,8,2016,8,30,17.0,8,2007,1,6,1976
33336,岩手県,小本（オモト）,,2026,1,8,16,0,0.0,8,0.0,4,,,,,,124.5,8,2023,8,13,29.0,8,2007,1,6,1977
33351,岩手県,葛根田（カッコンダ）,,2026,1,8,16,0,0.0,8,4.0,4,0.0,29.0,4.0,,,64.5,8,2021,6,14,8.0,8,2007,1,6,1977
33361,岩手県,滝沢（タキザワ）,,2026,1,8,16,0,0.0,8,4.5,4,0.0,22.0,4.0,,,64.0,8,2023,8,19,8.5,8,2025,1,26,2005
33371,岩手県,薮川（ヤブカワ）,,2026,1,8,16,0,0.0,8,2.5,4,0.0,35.0,4.0,,,99.5,8,2024,8,27,9.0,8,2007,1,6,1976
33421,岩手県,雫石（シズクイシ）,,2026,1,8,16,0,0.0,8,3.0,4,0.0,16.0,4.0,,,78.0,8,2013,8,9,8.0,8,1985,1,16,1976
33431,岩手県,盛岡（モリオカ）,47584.0,2026,1,8,16,0,0.0,8,2.0,4,0.0,36.0,4.0,,,68.0,8,2024,8,27,11.5,8,2002,1,21,1923
